,xcoord,ycoord,latitude,longitude,sale price,price per sqft,zip code
75,1011380.0,256938.0,40.871868171915516,-73.90190404365453,0,,10468
76,1011380.0,256938.0,40.871868171915516,-73.90190404365453,0,,10468
77,1011380.0,256938.0,40.871868171915516,-73.90190404365453,0,,10468
78,1011380.0,256938.0,40.871868171915516,-73.90190404365453,0,,10468
79,1011380.0,256938.0,40.871868171915516,-73.90190404365453,0,,10468
80,1011380.0,256938.0,40.871868171915516,-73.90190404365453,0,,10468
81,1011380.0,256938.0,40.871868171915516,-73.90190404365453,0,,10468
82,1011380.0,256938.0,40.871868171915516,-73.90190404365453,0,,10468
83,1011380.0,256938.0,40.871868171915516,-73.90190404365453,0,,10468
84,1011380.0,256938.0,40.871868171915516,-73.90190404365453,0,,10468
85,1011380.0,256938.0,40.871868171915516,-73.90190404365453,0,,10468
86,1011380.0,256938.0,40.871868171915516,-73.90190404365453,0,,10468
