xcoord,ycoord,latitude,longitude,sale price,price per sqft,zip code,tree_count_quarter_mile
1025122.0,233012.0,40.806145418,-73.852361959,395000,,10473,204.0
1025122.0,233012.0,40.806145418,-73.852361959,375000,,10473,204.0
1024608.0,233675.0,40.8079675302,-73.8542146431,354900,,10473,290.0
1025030.0,232676.0,40.805223617,-73.8526963222,420810,,10473,146.0
1025030.0,232676.0,40.805223617,-73.8526963222,354900,,10473,146.0
1025030.0,232676.0,40.805223617,-73.8526963222,451230,,10473,146.0
1025030.0,232676.0,40.805223617,-73.8526963222,443118,,10473,146.0
1025030.0,232676.0,40.805223617,-73.8526963222,430950,,10473,146.0
1025030.0,232676.0,40.805223617,-73.8526963222,420810,,10473,146.0
1025030.0,232676.0,40.805223617,-73.8526963222,430950,,10473,146.0
1025030.0,232676.0,40.805223617,-73.8526963222,420810,,10473,146.0
1025030.0,232676.0,40.805223617,-73.8526963222,449202,,10473,146.0
1025030.0,232676.0,40.805223617,-73.8526963222,405600,,10473,146.0
1025615.0,232835.0,40.8056573081,-73.8505822359,395460,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,228150,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,212940,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,410670,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,410670,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,405600,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,336061,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,336061,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,405250,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,405600,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,400530,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,400530,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,400530,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,395460,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,400530,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,410670,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,430950,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,420810,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,451230,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,410670,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,395460,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,405600,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,410670,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,395460,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,420810,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,405600,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,223080,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,435670,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,451230,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,395460,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,420810,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,395460,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,430600,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,430950,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,243360,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,430950,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,243360,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,430950,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,430950,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,273780,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,253500,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,268710,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,253500,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,288990,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,329550,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,461370,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,263640,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,430950,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,451230,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,410670,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,354900,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,410670,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,410670,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,395460,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,420810,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,441090,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,395460,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,420810,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,410670,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,410670,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,395460,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,385320,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,410670,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,395460,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,395460,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,430950,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,410670,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,370110,,10473,100.0
1025615.0,232835.0,40.8056573081,-73.8505822359,461370,,10473,100.0
1022731.0,239002.0,40.8225970109,-73.8609643834,195000,,10473,500.0
1022731.0,239002.0,40.8225970109,-73.8609643834,208000,,10473,500.0
1022731.0,239002.0,40.8225970109,-73.8609643834,220000,,10473,500.0
1022799.0,239127.0,40.8229398035,-73.860717975,205000,,10473,462.0
1017982.0,238790.0,40.8220345436,-73.8781240269,211150,,10473,254.0
1022603.0,243188.0,40.8340869271,-73.8614029291,99623,,10462,266.0
1022603.0,243188.0,40.8340869271,-73.8614029291,125000,,10462,266.0
1022437.0,244495.0,40.8376749789,-73.8619953649,108000,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,102000,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,105000,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,0,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,0,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,0,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,100000,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,89000,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,70000,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,110000,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,35000,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,0,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,140000,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,105500,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,0,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,155000,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,0,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,100000,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,0,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,0,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,80000,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,104000,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,155000,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,140000,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,140000,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,110000,,10462,365.0
1022437.0,244495.0,40.8376749789,-73.8619953649,108000,,10462,365.0
1023285.0,243926.0,40.8361095332,-73.8589340803,0,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,80000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,142000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,80000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,109000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,79500,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,138000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,107000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,90000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,99000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,70700,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,0,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,0,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,139000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,139000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,95600,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,55000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,95000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,160000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,0,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,145000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,114000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,120000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,175000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,120000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,90000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,90000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,105000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,85000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,114000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,163000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,0,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,104500,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,0,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,190000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,98000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,75000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,163000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,0,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,0,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,108000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,155000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,105000,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,0,,10462,467.0
1023285.0,243926.0,40.8361095332,-73.8589340803,105000,,10462,467.0
1023950.0,244839.0,40.8386124858,-73.8565254824,80000,,10462,439.0
1023950.0,244839.0,40.8386124858,-73.8565254824,0,,10462,439.0
1023950.0,244839.0,40.8386124858,-73.8565254824,157000,,10462,439.0
1023950.0,244839.0,40.8386124858,-73.8565254824,110000,,10462,439.0
1023950.0,244839.0,40.8386124858,-73.8565254824,155000,,10462,439.0
1023950.0,244839.0,40.8386124858,-73.8565254824,75000,,10462,439.0
1023950.0,244839.0,40.8386124858,-73.8565254824,130000,,10462,439.0
1023950.0,244839.0,40.8386124858,-73.8565254824,130000,,10462,439.0
1023950.0,244839.0,40.8386124858,-73.8565254824,105000,,10462,439.0
1023950.0,244839.0,40.8386124858,-73.8565254824,105000,,10462,439.0
1023950.0,244839.0,40.8386124858,-73.8565254824,105000,,10462,439.0
1023950.0,244839.0,40.8386124858,-73.8565254824,108500,,10462,439.0
1023950.0,244839.0,40.8386124858,-73.8565254824,120000,,10462,439.0
1023950.0,244839.0,40.8386124858,-73.8565254824,103000,,10462,439.0
1023950.0,244839.0,40.8386124858,-73.8565254824,177000,,10462,439.0
1023950.0,244839.0,40.8386124858,-73.8565254824,55000,,10462,439.0
1023950.0,244839.0,40.8386124858,-73.8565254824,155000,,10462,439.0
1023950.0,244839.0,40.8386124858,-73.8565254824,0,,10462,439.0
